Code,Name,Comp. Code,Amount,Cash,Percent
159800,마이티 코스피100,005930,4884.0,410256000,30.540000915527344
159800,마이티 코스피100,000660,651.0,90814500,6.670000076293945
159800,마이티 코스피100,035420,147.0,57109500,4.320000171661377
159800,마이티 코스피100,051910,53.0,46004000,3.5299999713897705
159800,마이티 코스피100,006400,59.0,40710000,3.059999942779541
159800,마이티 코스피100,068270,122.0,38552000,2.890000104904175
159800,마이티 코스피100,005380,163.0,37490000,2.8499999046325684
159800,마이티 코스피100,005490,80.0,26160000,1.9800000190734863
159800,마이티 코스피100,000270,292.0,24966000,1.8799999952316284
159800,마이티 코스피100,012330,75.0,22612500,1.75
159800,마이티 코스피100,105560,410.0,21935000,1.6200000047683716
159800,마이티 코스피100,066570,125.0,19687500,1.5099999904632568
159800,마이티 코스피100,036570,21.0,19194000,1.440000057220459
159800,마이티 코스피100,055550,474.0,17656500,1.309999942779541
159800,마이티 코스피100,017670,59.0,17700000,1.2899999618530273
159800,마이티 코스피100,096770,60.0,16620000,1.2400000095367432
159800,마이티 코스피100,028260,115.0,15582500,1.1799999475479126
159800,마이티 코스피100,051900,10.0,15630000,1.1699999570846558
159800,마이티 코스피100,086790,314.0,12952500,0.9599999785423279
159800,마이티 코스피100,207940,16.0,12544000,0.949999988079071
159800,마이티 코스피100,009150,64.0,12256000,0.9100000262260437
159800,마이티 코스피100,034730,40.0,11980000,0.8799999952316284
159800,마이티 코스피100,251270,74.0,10249000,0.7900000214576721
159800,마이티 코스피100,003550,104.0,9973600,0.7799999713897705
159800,마이티 코스피100,033780,121.0,9958300,0.7400000095367432
159800,마이티 코스피100,090430,36.0,9648000,0.7200000286102295
159800,마이티 코스피100,015760,365.0,8723500,0.6499999761581421
159800,마이티 코스피100,003490,294.0,7835100,0.5799999833106995
159800,마이티 코스피100,032830,97.0,7439900,0.5699999928474426
159800,마이티 코스피100,018260,38.0,7201000,0.5400000214576721
159800,마이티 코스피100,009830,143.0,6914050,0.5400000214576721
159800,마이티 코스피100,009540,54.0,7182000,0.5400000214576721
159800,마이티 코스피100,030200,251.0,7053100,0.5299999713897705
159800,마이티 코스피100,000810,36.0,6858000,0.5099999904632568
159800,마이티 코스피100,316140,621.0,6427350,0.47999998927116394
159800,마이티 코스피100,034220,261.0,6433650,0.47999998927116394
159800,마이티 코스피100,018880,310.0,5549000,0.41999998688697815
159800,마이티 코스피100,011170,19.0,5491000,0.4099999964237213
159800,마이티 코스피100,003670,31.0,5161500,0.4000000059604645
159800,마이티 코스피100,011780,20.0,4900000,0.3799999952316284
159800,마이티 코스피100,071050,47.0,5052500,0.3700000047683716
159800,마이티 코스피100,004020,97.0,4723900,0.36000001430511475
159800,마이티 코스피100,021240,65.0,4407000,0.33000001311302185
159800,마이티 코스피100,161390,83.0,4340900,0.3199999928474426
159800,마이티 코스피100,032640,324.0,4244400,0.3199999928474426
159800,마이티 코스피100,010130,10.0,4175000,0.3100000023841858
159800,마이티 코스피100,006800,405.0,4110750,0.3100000023841858
159800,마이티 코스피100,000720,85.0,3859000,0.28999999165534973
159800,마이티 코스피100,139480,23.0,3898500,0.28999999165534973
159800,마이티 코스피100,086280,21.0,3853500,0.28999999165534973
159800,마이티 코스피100,010950,48.0,3734400,0.28999999165534973
159800,마이티 코스피100,010140,505.0,3843050,0.2800000011920929
159800,마이티 코스피100,000100,58.0,3822200,0.2800000011920929
159800,마이티 코스피100,097950,9.0,3735000,0.2800000011920929
159800,마이티 코스피100,011070,17.0,3612500,0.2800000011920929
159800,마이티 코스피100,019170,40.0,3604000,0.27000001072883606
159800,마이티 코스피100,035250,146.0,3650000,0.27000001072883606
159800,마이티 코스피100,271560,25.0,3187500,0.23999999463558197
159800,마이티 코스피100,267250,50.0,2935000,0.2199999988079071
159800,마이티 코스피100,008770,35.0,2971500,0.2199999988079071
159800,마이티 코스피100,047810,81.0,2916000,0.2199999988079071
159800,마이티 코스피100,016360,70.0,2877000,0.20999999344348907
159800,마이티 코스피100,006360,65.0,2840500,0.20999999344348907
159800,마이티 코스피100,128940,8.0,2772000,0.20999999344348907
159800,마이티 코스피100,024110,291.0,2677200,0.20000000298023224
159800,마이티 코스피100,081660,56.0,2380000,0.18000000715255737
159800,마이티 코스피100,352820,10.0,2525000,0.18000000715255737
159800,마이티 코스피100,028050,170.0,2337500,0.18000000715255737
159800,마이티 코스피100,012750,28.0,2304400,0.17000000178813934
159800,마이티 코스피100,005830,51.0,2284800,0.17000000178813934
159800,마이티 코스피100,326030,20.0,2280000,0.17000000178813934
159800,마이티 코스피100,004170,8.0,2240000,0.17000000178813934
159800,마이티 코스피100,285130,8.0,2208000,0.1599999964237213
159800,마이티 코스피100,241560,52.0,2155400,0.1599999964237213
159800,마이티 코스피100,000120,12.0,2100000,0.1599999964237213
159800,마이티 코스피100,002790,30.0,2073000,0.1599999964237213
